selection,director,year_rev,voter,voter_url,voter_role,voter_critic_or_director,voter_country
Sylvie,Klaus Lemke,1973,Lukas Foerster,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/lukas-foerster,Writer,critic,Germany
The Smiling Lieutenant,Ernst Lubitsch,1931,Lukas Foerster,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/lukas-foerster,Writer,critic,Germany
A Moment Of Romance,Benny Chan,1990,Lukas Foerster,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/lukas-foerster,Writer,critic,Germany
Diabolik,Mario Bava,1967,Lukas Foerster,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/lukas-foerster,Writer,critic,Germany
Nogiku No Gotoki Kimi Nariki,Keisuke Kinoshita,1955,Lukas Foerster,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/lukas-foerster,Writer,critic,Germany
History Is Made At Night,Frank Borzage,1937,Lukas Foerster,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/lukas-foerster,Writer,critic,Germany
Vanessa,Hubert Frank,1976,Lukas Foerster,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/lukas-foerster,Writer,critic,Germany
Le Lac Aux Dames,Marc Allégret,1934,Lukas Foerster,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/lukas-foerster,Writer,critic,Germany
Johnny Flash,Werner Nekes,1986,Lukas Foerster,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/lukas-foerster,Writer,critic,Germany
Leviathan: 2012,"Lucien Taylor, Véréna Paravel",2012,Łukasz Mańkowski,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/lukasz-mankowski,film critic / programmer / academic,critic,Poland
Suna No Onna,Hiroshi Teshigahara,1964,Łukasz Mańkowski,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/lukasz-mankowski,film critic / programmer / academic,critic,Poland
Bara No Soretsu,Toshio Matsumoto,1970,Łukasz Mańkowski,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/lukasz-mankowski,film critic / programmer / academic,critic,Poland
Kongbufenzi,Edward Yang,1986,Łukasz Mańkowski,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/lukasz-mankowski,film critic / programmer / academic,critic,Poland
"Jeanne Dielman, 23 Quai Du Commerce, 1080 Bruxelles",Chantal Akerman,1975,Łukasz Mańkowski,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/lukasz-mankowski,film critic / programmer / academic,critic,Poland
Syndromes And A Century,Apichatpong Weerasethakul,2006,Łukasz Mańkowski,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/lukasz-mankowski,film critic / programmer / academic,critic,Poland
"Goodbye, Dragon Inn",Tsai Ming-liang,2003,Łukasz Mańkowski,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/lukasz-mankowski,film critic / programmer / academic,critic,Poland
Happy Hour,Ryusuke Hamaguchi,2015,Łukasz Mańkowski,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/lukasz-mankowski,film critic / programmer / academic,critic,Poland
Abendland,Fred Kelemen,1999,Łukasz Mańkowski,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/lukasz-mankowski,film critic / programmer / academic,critic,Poland
Beau Travail,Claire Denis,1998,Łukasz Mańkowski,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/lukasz-mankowski,film critic / programmer / academic,critic,Poland
The Act Of Seeing With One's Own Eyes,Stan Brakhage,1971,Luke Aspell,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/luke-aspell,Writer and filmmaker,critic,UK
Cry Macho,Clint Eastwood,2021,Luke Aspell,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/luke-aspell,Writer and filmmaker,critic,UK
In The Shadow Of The Sun,Derek Jarman,1981,Luke Aspell,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/luke-aspell,Writer and filmmaker,critic,UK
Ivan,Alexander Dovzhenko,1932,Luke Aspell,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/luke-aspell,Writer and filmmaker,critic,UK
"Jeanne Dielman, 23 Quai Du Commerce, 1080 Bruxelles",Chantal Akerman,1975,Luke Aspell,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/luke-aspell,Writer and filmmaker,critic,UK
The Long Day Closes,Terence Davies,1992,Luke Aspell,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/luke-aspell,Writer and filmmaker,critic,UK
Les Yeux Ne Veulent Pas En Tout Temps Se Fermer Ou Peut-Être Qu' Un Jour Rome Se Permettra De Choisir À Son Tour,"Jean-Marie Straub, Danièle Huillet",1969,Luke Aspell,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/luke-aspell,Writer and filmmaker,critic,UK
The Passion Of Joan Of Arc,Carl Th. Dreyer,1927,Luke Aspell,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/luke-aspell,Writer and filmmaker,critic,UK
Speed Racer,"Lilly Wachowski, Lana Wachowski",2008,Luke Aspell,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/luke-aspell,Writer and filmmaker,critic,UK
Fuses,Carolee Scheemann,1967,Luke Aspell,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/luke-aspell,Writer and filmmaker,critic,UK
Citizen Kane,Orson Welles,1941,Luke Gibbons,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/luke-gibbons,Author and critic,critic,Ireland
The Searchers,John Ford,1956,Luke Gibbons,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/luke-gibbons,Author and critic,critic,Ireland
Letter From An Unknown Woman,Max Ophuls,1948,Luke Gibbons,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/luke-gibbons,Author and critic,critic,Ireland
Battleship Potemkin,Sergei M. Eisenstein,1925,Luke Gibbons,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/luke-gibbons,Author and critic,critic,Ireland
The Dead,John Huston,1987,Luke Gibbons,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/luke-gibbons,Author and critic,critic,Ireland
"Paris, Texas",Wim Wenders,1984,Luke Gibbons,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/luke-gibbons,Author and critic,critic,Ireland
The Quiet Man,John Ford,1952,Luke Gibbons,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/luke-gibbons,Author and critic,critic,Ireland
Man With A Movie Camera,Dziga Vertov,1929,Luke Gibbons,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/luke-gibbons,Author and critic,critic,Ireland
Arrival,Denis Villeneuve,2016,Luke Gibbons,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/luke-gibbons,Author and critic,critic,Ireland
Imitation Of Life: 1959,Douglas Sirk,1959,Luke Gibbons,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/luke-gibbons,Author and critic,critic,Ireland
The Lady Of The Dugout,W.S. Van Dyke,1918,Luke McKernan,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/luke-mckernan,"Lead Curator, News and Moving Image, British Library",critic,UK
Open All Night,George Pearson,1935,Luke McKernan,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/luke-mckernan,"Lead Curator, News and Moving Image, British Library",critic,UK
Robinson Crusoe,Luis Buñuel,1953,Luke McKernan,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/luke-mckernan,"Lead Curator, News and Moving Image, British Library",critic,UK
Black Girl,Ousmane Sembène,1965,Luke McKernan,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/luke-mckernan,"Lead Curator, News and Moving Image, British Library",critic,UK
Skrivánci Na Nitích,Jirí Menzel,1990,Luke McKernan,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/luke-mckernan,"Lead Curator, News and Moving Image, British Library",critic,UK
Ko To Tamo Peva,Slobodan Sijan,1980,Luke McKernan,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/luke-mckernan,"Lead Curator, News and Moving Image, British Library",critic,UK
Every Picture Tells A Story,James Scott,1984,Luke McKernan,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/luke-mckernan,"Lead Curator, News and Moving Image, British Library",critic,UK
Atlantic Rhapsody 52 Myndir Úr Tórshavn,Katrin Ottarsdóttir,1989,Luke McKernan,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/luke-mckernan,"Lead Curator, News and Moving Image, British Library",critic,UK
La Camarista,Lila Avilés,2018,Luke McKernan,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/luke-mckernan,"Lead Curator, News and Moving Image, British Library",critic,UK
The Last Black Man In San Francisco,Joe Talbot,2019,Luke McKernan,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/luke-mckernan,"Lead Curator, News and Moving Image, British Library",critic,UK
Opening Night,John Cassavetes,1977,Luke Seomore,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/luke-seomore,Filmmaker,director,UK
Scarecrow,Jerry Schatzberg,1973,Luke Seomore,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/luke-seomore,Filmmaker,director,UK
Close-Up,Abbas Kiarostami,1989,Luke Seomore,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/luke-seomore,Filmmaker,director,UK
Stroszek,Werner Herzog,1977,Luke Seomore,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/luke-seomore,Filmmaker,director,UK
Solaris,Andrei Tarkovsky,1972,Luke Seomore,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/luke-seomore,Filmmaker,director,UK
Blissfully Yours,Apichatpong Weerasethakul,2002,Luke Seomore,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/luke-seomore,Filmmaker,director,UK
"Paris, Texas",Wim Wenders,1984,Luke Seomore,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/luke-seomore,Filmmaker,director,UK
Eraserhead,David Lynch,1976,Luke Seomore,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/luke-seomore,Filmmaker,director,UK
Touki Bouki,Djibril Diop Mambéty,1973,Luke Seomore,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/luke-seomore,Filmmaker,director,UK
Cléo From 5 To 7,Agnès Varda,1962,Luke Seomore,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/luke-seomore,Filmmaker,director,UK
Yi Yi,Edward Yang,1999,Lulu Wang,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/lulu-wang,Writer Director,director,USA
The Apartment,Billy Wilder,1960,Lulu Wang,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/lulu-wang,Writer Director,director,USA
Playtime,Jacques Tati,1967,Lulu Wang,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/lulu-wang,Writer Director,director,USA
Le Notti Di Cabiria,Federico Fellini,1957,Lulu Wang,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/lulu-wang,Writer Director,director,USA
Viridiana,Luis Buñuel,1961,Lulu Wang,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/lulu-wang,Writer Director,director,USA
Chungking Express,Wong Kar Wai,1994,Lulu Wang,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/lulu-wang,Writer Director,director,USA
Tokyo Story,Yasujirō Ozu,1953,Lulu Wang,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/lulu-wang,Writer Director,director,USA
"Jeanne Dielman, 23 Quai Du Commerce, 1080 Bruxelles",Chantal Akerman,1975,Lulu Wang,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/lulu-wang,Writer Director,director,USA
The Conversation,Francis Ford Coppola,1974,Lulu Wang,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/lulu-wang,Writer Director,director,USA
Vagabond,Agnès Varda,1985,Lulu Wang,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/lulu-wang,Writer Director,director,USA
Riso Amaro,Giuseppe De Santis,1949,luna Carmoon,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/luna-carmoon,Director,director,UK
Women In Love,Ken Russell,1969,luna Carmoon,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/luna-carmoon,Director,director,UK
Out Of The Blue,Dennis Hopper,1980,luna Carmoon,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/luna-carmoon,Director,director,UK
L' Été Meurtrier,Jean Becker,1983,luna Carmoon,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/luna-carmoon,Director,director,UK
Breaking The Waves,Lars von Trier,1996,luna Carmoon,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/luna-carmoon,Director,director,UK
At Close Range,James Foley,1985,luna Carmoon,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/luna-carmoon,Director,director,UK
Deep End,Jerzy Skolimowski,1970,luna Carmoon,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/luna-carmoon,Director,director,UK
Mademoiselle,Tony Richardson,1966,luna Carmoon,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/luna-carmoon,Director,director,UK
The Outsiders,Francis Ford Coppola,1983,luna Carmoon,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/luna-carmoon,Director,director,UK
Practical Magic,Griffin Dunne,1998,luna Carmoon,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/luna-carmoon,Director,director,UK
Vertigo,Alfred Hitchcock,1958,Lynda Myles,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/lynda-myles,Producer,critic,UK
Pierrot Le Fou,Jean-Luc Godard,1965,Lynda Myles,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/lynda-myles,Producer,critic,UK
The Godfather,Francis Ford Coppola,1972,Lynda Myles,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/lynda-myles,Producer,critic,UK
Pandora's Box,G.W. Pabst,1928,Lynda Myles,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/lynda-myles,Producer,critic,UK
Tokyo Story,Yasujirō Ozu,1953,Lynda Myles,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/lynda-myles,Producer,critic,UK
Out Of The Past,Jacques Tourneur,1947,Lynda Myles,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/lynda-myles,Producer,critic,UK
Le Samouraï,Jean-Pierre Melville,1967,Lynda Myles,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/lynda-myles,Producer,critic,UK
The Searchers,John Ford,1956,Lynda Myles,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/lynda-myles,Producer,critic,UK
Wu Jian Dao,"Andrew Lau Wai-keung, Alan Mak Siu-fai",2002,Lynda Myles,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/lynda-myles,Producer,critic,UK
I Know Where I'm Going!,"Michael Powell, Emeric Pressburger",1945,Lynda Myles,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/lynda-myles,Producer,critic,UK
Persona,Ingmar Bergman,1966,Lynne Ramsay,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/lynne-ramsay,film director,director,UK
Full Metal Jacket,Stanley Kubrick,1987,Lynne Ramsay,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/lynne-ramsay,film director,director,UK
Mulholland Dr.,David Lynch,2001,Lynne Ramsay,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/lynne-ramsay,film director,director,UK
Stalker,Andrei Tarkovsky,1979,Lynne Ramsay,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/lynne-ramsay,film director,director,UK
8½,Federico Fellini,1963,Lynne Ramsay,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/lynne-ramsay,film director,director,UK
The Wizard Of Oz,Victor Fleming,1939,Lynne Ramsay,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/lynne-ramsay,film director,director,UK
The Passion Of Joan Of Arc,Carl Th. Dreyer,1927,Lynne Ramsay,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/lynne-ramsay,film director,director,UK
Killer Of Sheep,Charles Burnett,1977,Lynne Ramsay,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/lynne-ramsay,film director,director,UK
"Jeanne Dielman, 23 Quai Du Commerce, 1080 Bruxelles",Chantal Akerman,1975,Lynne Ramsay,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/lynne-ramsay,film director,director,UK
Don't Look Now,Nicolas Roeg,1973,Lynne Ramsay,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/lynne-ramsay,film director,director,UK
Wanda,Barbara Loden,1970,Madeleine Bernstorff,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/madeleine-bernstorff,"filmcurator, writer",critic,Germany
Solidarity,Joyce Wieland,1973,Madeleine Bernstorff,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/madeleine-bernstorff,"filmcurator, writer",critic,Germany
Material,Thomas Heise,2009,Madeleine Bernstorff,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/madeleine-bernstorff,"filmcurator, writer",critic,Germany
